row_id,phase,parent_issue,issue_number,title,tracker_state,deferred_allowed,deferred_target,scope_verdict,docs_verdict,sdk_ffi_verdict,examples_verdict,cleanup_verdict,severity,repo_evidence,ci_evidence,next_action
P114,release,,114,ALPHA-001: GoudEngine Alpha Release,OPEN,false,,"The Phase 0-2 remediation scope is complete on this branch for the supported alpha SDK targets; #114 remains open because it still tracks later-phase alpha work outside this branch.","Getting-started guides, build-first-game, deployment, FAQ, videos, showcase, generated snippets, and web gotchas docs are present and verified.","Public SDK source plus package/build scaffolding regenerate from codegen, drift is enforced in CI, and clean-room regeneration works for SDKs and docs.","Flappy Bird plus Feature Lab parity exist across Rust, C#, Python, TypeScript desktop, and TypeScript web.",Keep #114 open as the broader alpha tracker and attach the current remediation snapshot comment only.,critical,.claude/specs/alpha-001-phase0-2-audit.md; scripts/clean-room-regenerate.sh; examples/rust/feature_lab; examples/python/feature_lab.py; examples/csharp/feature_lab; examples/typescript/feature_lab,"cargo check; cargo test --workspace --quiet; cargo doc --no-deps -p goud-engine-core -p goud-engine; python3 sdks/python/test_bindings.py; python3 -m coverage report; DOTNET_ROOT_X64=/usr/local/share/dotnet/x64 /usr/local/share/dotnet/x64/dotnet test sdks/csharp.tests/GoudEngine.Tests.csproj -v minimal; cd sdks/typescript && npm test; mdbook build",None for the Phase 0-2 remediation scope.
P115,phase0,,115,F00: Foundation & Developer Experience,CLOSED,false,,All listed Phase 0 child issues are closed and the repo contains the expected foundation artifacts; this parent can close after tracker reconciliation.,Developer onboarding docs and mdBook scaffolding are present and linked.,No direct SDK or FFI release blocker remains under this parent.,Examples are covered by later feature parents; Phase 0 itself has no remaining example gap.,Close parent after commenting with the audited Phase 0 completion evidence.,medium,CONTRIBUTING.md; ARCHITECTURE.md; CODE_OF_CONDUCT.md; book.toml; docs/src/getting-started/*.md,"mdbook build; PATH=""$HOME/.cargo/bin:$HOME/.dotnet/tools:$PATH"" bash scripts/clean-room-regenerate.sh --docs",Post parent reconciliation comment and close #115.
I141,phase0,115,141,F00-01: Create issue templates,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I142,phase0,115,142,F00-02: Create CONTRIBUTING.md,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I143,phase0,115,143,F00-03: Create ARCHITECTURE.md with diagrams,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I144,phase0,115,144,F00-04: Restructure GitHub project board,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I145,phase0,115,145,F00-05: Add issue label taxonomy,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I146,phase0,115,146,F00-06: Create milestone structure,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I147,phase0,115,147,F00-07: Create RFC template for design decisions,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I148,phase0,115,148,F00-08: Update README with alpha roadmap link,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I149,phase0,115,149,F00-09: Create getting-started guides per SDK,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I151,phase0,115,151,F00-10: Set up mdBook for docs site,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I156,phase0,115,156,F00-11: Add CODE_OF_CONDUCT.md,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I158,phase0,115,158,F00-12: Triage and update all existing open issues,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I160,phase0,115,160,F00-13: Create dev environment setup guide,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
P116,phase1,,116,F01: Core Stabilization,CLOSED,false,,,,,,,,,,audit parent scope against child issues and repo evidence
I162,phase1,116,162,F01-01: Refactor schedule.rs (8301 lines),CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I163,phase1,116,163,F01-02: Refactor world.rs (4374 lines),CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I171,phase1,116,171,F01-03: Refactor handle.rs (3574 lines),CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I173,phase1,116,173,F01-04: Refactor remaining oversized files (>500 lines),CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I175,phase1,116,175,F01-05: Fix layer hierarchy violations,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I177,phase1,116,177,F01-06: Add SAFETY comments to all unsafe blocks,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
